"STATION","NAME","DATE","CDSD","EMNT","EMXT","HDSD","PRCP","TAVG","TMAX","TMIN"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1980-01","0","-6","49","5238","17.87","21.7","28.6","14.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1980-02","0","5","46","6230","17.04","30.8","36.9","24.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1980-03","0","16","45","7423","13.83","26.5","31.6","21.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1980-04","0","17","66","8272","7.83","36.7","44.1","29.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1980-05","0","22","66","9050","4.36","38.5","45.6","31.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1980-06","0","25","58","9809","4.22","39.7","45.3","34.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1980-07","5","34","76","458","1.79","50.0","56.7","43.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1980-08","5","29","67","1041","3.74","45.7","51.0","40.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1980-09","5","30","66","1636","5.72","43.9","49.8","37.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1980-10","5","24","69","2357","2.41","40.9","47.4","34.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1980-11","5","11","55","3332","21.84","29.1","34.9","23.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1980-12","5","5","58","4350","24.11","32.2","37.9","26.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1981-01","0","16","50","5287","4.64","34.8","40.7","28.8"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1981-02","0","2","51","6300","18.34","28.8","36.0","21.6"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1981-03","0","11","51","7334","7.65","31.6","39.3","24.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1981-04","0","15","62","8325","16.81","32.0","38.9","25.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1981-05","0","17","65","9186","5.47","37.2","45.3","29.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1981-06","0","25","67","9935","10.43","40.0","47.1","33.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1981-07","0","26","74","502","3.44","48.8","57.4","40.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1981-08","43","35","83","769","0.74","57.8","66.6","49.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1981-09","60","22","82","1293","7.22","48.1","55.9","40.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1981-10","60","19","62","2150","11.92","37.3","44.2","30.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1981-11","60","17","64","3096","10.80","33.5","38.8","28.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1981-12","60","9","43","4358","25.67","24.3","30.2","18.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1982-01","0","-1","37","5597","23.65","20.8","26.6","14.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1982-02","0","2","40","6669","20.56","22.2","29.3","15.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1982-03","0","12","49","7792",,"27.5","34.5","20.6"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1982-04","0","13","59","8814","11.11","29.7","37.1","22.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1982-05","0","19","69","9630","1.80","37.8","46.2","29.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1982-06","0","25","73","10087","1.32","49.2","57.5","40.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1982-07","15","30","80","453","2.75","50.3","58.9","41.6"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1982-08","23","31","80","876","1.38","51.6","60.2","43.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1982-09","25","25","76","1406","6.68","46.6","54.4","38.8"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1982-10","25","18","67","2235","13.12","38.2","44.5","31.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1982-11","25","12","46","3344","12.72","28.0","33.9","22.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1982-12","25","-1","44","4539","15.27","25.2","32.3","18.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1983-01","0","14","51","5589","21.45","30.0","35.7","24.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1983-02","0","18","47","6608","14.19","28.6","34.2","23.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1983-03","0","18","43","7653","13.22","31.3","37.0","25.6"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1983-04","0","15","58","8539","4.03","34.5","41.9","27.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1983-05","4","18","76","9203","6.59","42.2","50.9","33.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1983-06","4","29","66","9886","5.69","41.6","48.5","34.8"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1983-07","9","31","79","535","7.12","47.0","54.2","39.8"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1983-08","10","39","77","883","1.26","52.9","61.6","44.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1983-09","10","25","67","1499","4.24","42.3","50.1","34.6"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1983-10","10","24","63","2219","4.17","40.0","47.0","33.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1983-11","10","4","45","3343","32.28","27.5","33.3","21.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1983-12","10","-17","37","4779","15.44","17.3","24.8","9.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1984-01","0","5","51","5887","21.25","29.3","35.0","23.6"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1984-02","0","2","54","6885","11.86","29.4","36.2","22.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1984-03","0","17","53","7921","12.94","31.6","37.9","25.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1984-04","0","15","58","8964","7.46","30.2","37.5","23.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1984-05","0","18","70","9895","11.78","34.1","41.7","26.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1984-06","0","22","67","10618","5.04","40.9","48.5","33.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1984-07","4","31","76","385","0.00","51.9","61.2","42.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1984-08","5","29","76","820","0.28","51.0","60.6","41.4"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1984-09","5","21","68","1448","4.57","43.2","50.8","35.7"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1984-10","5","11","63","2413","11.81","33.9","40.1","27.6"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1984-11","5","7","54","3526","20.97","27.9","33.8","22.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1984-12","5","2","44","4802","16.19","22.6","28.7","16.5"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1985-01","0","9","53","5786","1.21","33.2","39.5","27.0"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1985-02","0","1","45","6920","13.08","23.2","28.6","17.8"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1985-03","0","12","56","8012","11.92","28.5","35.8","21.2"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1985-04","0","12","63","8939","7.99","34.1","41.7","26.6"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1985-05","0","15","68","9716","2.51","39.9","49.3","30.6"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1985-06","0","25","77","10299","5.44","45.6","55.3","35.9"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1985-07","15","38","79","186","0.11","59.3","69.3","49.3"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1985-08","15","32","72","638","2.09","50.4","59.8","41.1"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1985-09","15","26","65","1300","6.33","42.3","50.0","34.6"
"USC00456898","RAINIER PARADISE RANGER STATION, WA US","1985-10","15","15","60","2261","11.31","34.0","41.4","26.6"
